MouseID,Genotype,Sex,Diet,Result_times_5,Plasma_FITC,Date,Omit,Size
1,WT,M,Control,1812.892,1812.892,26April2024,Yes,4_kDa
2,WT,M,Control,2378.36,2378.36,26April2024,Yes,4_kDa
3,WT,M,Control,1970.632,1970.632,26April2024,Yes,4_kDa
5,HET,M,Control,1569.725,1569.725,3May2024,No,4_kDa
6,HET,M,Control,3419.245,3419.245,3May2024,No,4_kDa
7,MUT,M,Control,2232.495,2232.495,3May2024,No,4_kDa
9,WT,F,Control,1047.34,1047.34,3May2024,No,4_kDa
10,HET,F,Control,970.495,970.495,3May2024,No,4_kDa
11,HET,F,Control,1728.29,1728.29,3May2024,No,4_kDa
12,HET,F,Control,484.14,484.14,3May2024,No,4_kDa
13,HET,M,Control,1668.475,1668.475,3May2024,No,4_kDa
14,MUT,M,Control,4732.495,4732.495,3May2024,No,4_kDa
16,HET,F,Control,1872.71,1872.71,3May2024,No,4_kDa
17,WT,F,Control,1538.625,1538.625,3May2024,No,4_kDa
20,MUT,F,Control,1433,1433,10May2024,No,4_kDa
22,HET,F,Control,2188,2188,10May2024,No,4_kDa
75,MUT,F,Control,1994.82,1994.82,10May2024,No,4_kDa
51,HET,M,Control,714.51,714.51,24May2024,No,4_kDa
52,MUT,M,Control,2480.525,2480.525,24May2024,No,4_kDa
53,MUT,F,Control,1651.275,1651.275,24May2024,No,4_kDa
55,MUT,F,Control,985.545,985.545,24May2024,No,4_kDa
59,MUT,F,Control,1121.075,1121.075,24May2024,No,4_kDa
63,MUT,M,Control,2338.77,2338.77,24May2024,No,4_kDa
76,MUT,M,Control,2217.15,2217.15,24May2024,No,4_kDa
77,HET,M,Control,1986.07,1986.07,24May2024,No,4_kDa
79,WT,F,Control,1755.355,1755.355,24May2024,No,4_kDa
37,HET,F,Control,1133.69,1133.69,07June2024,No,4_kDa
93,WT,M,Control,3026.46,3026.46,12July2024,No,4_kDa
94,WT,M,Control,2739.56,2739.56,12July2024,No,4_kDa
98,WT,F,Control,1686.65,1686.65,12July2024,No,4_kDa
,WT,M,Control,1928.48,1928.48,26April2024_B2,Yes,4_kDa
,WT,M,Control,2266.115,2266.115,26April2024_B2,Yes,4_kDa
,WT,M,Control,2972.95,2972.95,26April2024_B2,Yes,4_kDa
,WT,F,Control,2076.669,2076.669,Unknown,Yes,4_kDa
,HET,F,Control,2539.483,2539.483,Unknown,Yes,4_kDa
,MUT,M,Control,443.243,443.243,Unknown,Yes,4_kDa
,MUT,F,Control,2481.161,2481.161,Unknown,Yes,4_kDa
,MUT,F,Control,2233.305,2233.305,Unknown,Yes,4_kDa
